Peaks	151 avg	154 avg	156 avg	158 avg	222 avg	278 avg	544 avg	561 avg	568 avg
53066	1026.897974	580.9007085	698.7737029	576.7462896	591.3968612	331.7712094	681.7973367	417.0435123	507.5626292
54148	1241.593684	489.9073749	469.157094	447.9130738	431.9682866	221.385414	776.1221154	311.3456627	385.1123578
64211	906.1229296	962.1145939	784.1833537	727.2839131	2437.416532	337.2457698	779.4235766	906.8249524	1647.012236
139733	24.53408842	2111.87007	215.5907019	34.6637633	2364.377473	82.18367633	501.9123881	640.0766805	1509.83518
560072	8.890914848	1461.191678	411.7024856	16.90254893	1010.377459	238.6159139	597.7925162	596.3654502	686.4383597
711431	751.62161	588.4357354	782.7617663	700.0576558	465.4174482	315.135421	644.9488137	415.6980819	441.1617587
711675	952.3821926	657.0186661	726.9903573	703.6198363	550.1476469	267.6133784	627.3194618	410.0367233	535.0173234
733156	1105.216401	758.7367447	576.6822025	756.8242794	599.9653595	505.2346362	836.7924349	683.2886985	598.3713524
736253	838.4152271	659.9986449	857.4299578	1008.640507	598.8536691	424.5619788	726.2728612	615.1295553	638.35815
736928	1160.196848	873.8861201	849.2967288	1177.289826	660.4903941	517.0859946	920.8442725	724.0669163	671.2923209
737180	923.522658	663.7362146	725.0492259	752.3498529	555.3491357	362.9594226	717.7876353	592.1116733	592.4290442
754615	35.07488264	144.1688492	58.22559763	76.0926488	552.9221127	253.7945742	164.9353489	194.2260208	341.3785578
812427	966.1904306	3353.485519	710.9865795	543.5869018	3931.29513	263.242995	1602.195679	1641.113214	2375.627563
813529	995.858224	5495.993129	1479.089091	542.5450771	10446.14395	351.9687762	1598.703695	1676.340875	5131.85171
895433	800.8462817	794.7316369	646.4837444	437.7790464	6809.144942	157.6651733	792.6711113	1376.761632	3790.140266
898184	1088.904521	613.8295083	525.5111945	578.1238123	465.5641833	210.5275473	686.4667443	470.1729561	418.756034
956560	931.5492794	832.6622063	635.6710297	611.6481717	568.5257022	297.1402572	561.4599707	458.8072212	471.8633115
1195684	1580.185344	900.4099118	1146.620732	1046.004484	735.522777	390.2357009	876.1373464	713.49894	666.5736508
1195963	1305.268517	862.5431877	755.5086482	838.1132166	599.177921	399.1442969	995.2179098	698.2704678	575.3077797
1231146	1040.779008	668.503018	647.4448488	598.8342326	630.3838801	282.5068227	819.9262419	508.8294438	570.7863658
1372370	66.59374567	1151.976896	694.7149294	132.2778168	6758.854503	183.8986946	1534.529781	1914.743732	5258.772586
1387361	9.364547834	296.7280669	30.92653171	503.7224339	878.8555854	41.95241267	404.5512838	605.6822474	796.3556112
1620628	395.0026573	629.4628269	266.758009	269.6269356	1315.416526	174.4376608	831.2544457	863.9366001	1366.892771
1621028	188.9934142	257.6021993	192.2094072	209.3072372	481.2624709	207.4341571	419.2303594	481.707708	428.8654505
1635342	792.7614164	550.3654485	531.9204002	613.1602837	520.9822289	382.3019534	657.7576227	429.4732957	505.141925
1648391	28.51078109	2586.197377	1175.956576	92.94646042	11271.21936	460.0882613	5875.214472	7736.77836	7577.108441
1651804	9.796995342	1021.494462	1505.855197	37.05723414	1112.163053	247.8977642	827.146046	1080.243837	553.623505
1735823	62.38630286	233.2524654	134.7431508	193.8548563	414.7140834	2048.222759	295.2293961	307.3678307	437.6842398
1762030	967.0007864	657.8132171	597.5789467	617.9837848	518.1906718	239.6817292	743.8436185	498.5764342	460.8639198
1765892	1008.637541	564.7968146	713.6327069	723.6584559	588.9503475	390.7694806	742.1872049	487.2775189	587.7748677
1766203	971.0215175	522.2217328	627.5818813	665.4743272	526.6509911	240.5219001	744.5460116	421.4460574	452.3339879
1767099	913.0272868	624.9289322	827.1253193	787.8982075	509.957246	338.3324457	658.8182592	431.1091766	520.285837
1774336	34.98191453	33814.61675	12938.94248	44.79803006	32231.68701	45.81079374	259.5003003	577.625135	22562.78848
1816906	301.6615657	6827.032199	3550.096874	423.1630441	15192.96627	3344.439482	10539.44901	16296.95225	8477.929632
1861853	994.242509	662.6273577	654.8285363	633.8008637	516.9519005	310.2444234	763.8421693	522.702143	467.4704845
1863055	860.7966151	562.3454217	516.4065726	508.858636	461.7040989	208.2486487	676.9985933	388.6182918	430.4264221
1863312	1403.276171	761.5283726	959.429662	857.6534737	690.8969432	360.7845176	876.8868848	549.9413048	674.6460917
1921598	252.0745076	195.7447588	166.3000034	374.1820705	457.3409863	1086.284859	379.7829282	267.8266937	385.2313585
1924465	89.12411867	142.104914	93.28795763	250.6448566	390.0522451	1145.87664	269.9437193	242.1221684	331.6502539
1925890	1209.069708	699.8644883	661.8390172	777.05728	527.8159617	402.1068546	800.7294904	610.6158489	513.2679049
1928093	1119.215452	741.8650814	940.6563886	845.4865892	595.5036751	326.3453073	831.7142578	621.8540604	544.0349453
1928610	1466.184148	862.567088	933.093609	817.7146381	656.1939414	371.9970944	942.0208472	672.8445844	666.336422
1929125	1127.148463	738.4105814	629.5523476	637.7236022	486.8340411	268.1336705	752.7046721	564.3755722	480.4079306
1929320	1307.914084	868.1499083	865.7155774	816.5970713	590.3441907	327.9491065	862.6148736	711.1997286	627.3786298
1929423	1285.748478	837.9537755	800.3570905	792.1032052	550.473969	295.5042032	957.5899943	743.3123484	560.2022489
1931650	1276.080938	759.1329235	842.1605349	683.665139	648.2678253	267.6961793	884.5534045	660.0547946	654.2665724
1931828	1335.523344	789.2428037	751.9696764	718.0644676	617.5202555	301.4679729	980.2962268	653.0997202	598.2330526
1931996	1157.711216	767.1099524	723.0113962	709.8508676	579.0454235	239.4215881	918.9582424	667.6614245	531.3395577
1932145	1207.305943	792.9310647	668.1588955	696.2998195	519.0751588	223.647743	755.8981867	659.3015715	543.3208154
1932413	1339.866121	908.3644168	911.3064304	879.0438763	643.3154721	281.700824	1026.461171	729.8158309	626.5915125
1933063	1141.303069	731.7142123	604.1259425	605.1121599	501.8581513	219.2869921	853.5421956	567.2734694	496.4425051
1934437	1469.138156	796.6154775	695.8781785	680.8292961	639.587167	223.9381518	981.1594106	695.6185608	549.4323424
1934549	1433.073164	717.7999179	574.9961745	534.7245337	577.3239865	199.2978632	981.4038806	678.1565955	568.9756882
1938348	1244.928132	748.9898971	816.3966972	694.8248407	666.5439202	256.2370703	921.3302736	653.2086332	621.8032703
1938815	1226.533272	657.5404769	631.7444606	590.2299142	510.8926729	239.3220392	813.2515718	535.0000407	513.225558
1939178	1049.982283	654.6178011	564.0619621	700.2507591	545.860139	317.0857844	833.8290338	629.7656346	512.2627096
2027979	1020.403826	721.984179	772.5030203	688.041743	581.5140275	398.2388311	830.4371506	592.939649	561.0591501
2028457	1284.743004	717.7816973	677.2880394	630.2431547	472.6032215	253.3749384	831.9843256	592.8496236	500.1831165
2028987	987.5106305	803.6927522	494.0936134	470.8175228	463.8187903	217.140125	714.1979408	535.8382751	438.4017516
2029197	1186.067353	873.719487	697.9794164	651.546812	578.1632243	312.2277773	860.6745239	563.8334256	537.6275953
2029507	1124.418605	722.7091874	776.6334671	673.7957435	534.7153931	259.9009222	702.3943529	571.1252048	480.50604
2029944	947.9519306	766.454493	673.7003923	599.4718977	504.1260188	275.9348464	608.8863856	504.7287833	489.5754394
2030348	960.1522801	558.0152305	628.6660972	626.9534746	493.6042795	295.4075432	766.6165453	453.1697608	490.7167978
2030753	1477.707936	819.3393322	1192.356134	965.3402033	812.0230227	374.5379204	1053.891785	520.3017655	783.967944
2031255	1565.767663	737.5310715	870.3317601	748.3182928	772.673573	295.4546877	1107.401958	524.6336551	722.9918831
2031678	1305.940518	618.6309262	555.2068339	713.7120776	535.7160983	374.2356666	964.1073532	457.1193567	478.1060688
2032697	1623.342454	651.2128879	621.2722082	835.9329161	608.6171556	482.2109506	1345.638489	451.5702586	551.5007074
2034193	1064.325235	650.5544308	608.9294936	540.7722617	541.7522875	294.0997222	882.9993601	529.3988262	504.2971195
2035624	1141.296243	775.0018203	792.8670367	658.7955954	554.285745	298.8005858	894.5703654	649.3953545	592.94774
2035849	973.682749	683.2100457	644.1966865	540.3985785	489.7363488	224.5421169	798.6391705	587.4764863	469.9538736
2036100	1087.860499	619.280406	605.7217577	493.4521484	552.8585231	183.5107709	688.8670464	519.2316403	507.860932
