Transcription Start	Translation Start	Translation Stop	Transcription Stop	Strand	Name	Synonym	Product	Expression 222	Expression 151	Expression 154	Expression 271	Expression 544	Expression 568	qValue 222 vs 151	qValue 222 vs 154	qValue 222 vs 271	qValue 222 vs 544	qValue 222 vs 568	qValue 151 vs 154	qValue 151 vs 271	qValue 151 vs 544	qValue 151 vs 568	qValue 154 vs 271	qValue 154 vs 544	qValue 154 vs 568	qValue 271 vs 544	qValue 271 vs 568	qValue 544 vs 568
474	483	2027	2027	+	dnaA	PA14_00010	chromosomal replication initiation protein	257	240	252	245	233	229	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9903226631520243	1.0	1.0	1.0	1.0	1.0	1.0
2028	2056	3159	3168	+	dnaN	PA14_00020	DNA polymerase III subunit beta	194	256	197	192	202	190	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9988870675732514	1.0	1.0	1.0	1.0	1.0	1.0
3169	3169	4278		+	recF	PA14_00030	recombination protein F	251	223	304	214	235	217	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9903226631520243	1.0	1.0	1.0	1.0	1.0	1.0
	4275	6695	6712	+	gyrB	PA14_00050	DNA gyrase subunit B	244	282	219	216	257	222	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9903226631520243	1.0	1.0	1.0	1.0	1.0	1.0
7791	7791	7018	7018	-	-	PA14_00060	acyltransferase	39	36	39	32	33	35	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9903226631520243	1.0	1.0	1.0	1.0	1.0	1.0
8354	8339	7803	7792	-	-	PA14_00070	D,D-heptose 1,7-bisphosphate phosphatase	41	32	52	33	35	35	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9972503509982843	1.0	1.0	0.8930963899348451	1.0	1.0	1.0
8475	8671	10377	10377	+	-	PA14_00080	hypothetical protein	110	85	117	119	97	110	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9903226631520243	1.0	1.0	1.0	1.0	1.0	1.0
	12488	10434	10432	-	glyS	PA14_00090	glycyl-tRNA synthetase subunit beta	67	95	68	68	77	50	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.7388081340280154	1.0	1.0	1.0	1.0	1.0	1.0
13435	13435	12488		-	glyQ	PA14_00100	glycyl-tRNA synthetase subunit alpha	45	60	42	47	51	33	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.23467105488450715	1.0	1.0	1.0	1.0	1.0	0.906750335276912
	13540	14091		+	tag	PA14_00110	DNA-3-methyladenine glycosidase I	16	16	16	14	16	13	1.0	1.0	1.0	1.0	0.92281206687212	1.0	1.0	1.0	0.870841830488264	1.0	1.0	1.0	1.0	1.0	1.0
14231	14236	15123	15123	+	-	PA14_00120	lipid A biosynthesis lauroyl acyltransferase	51	50	62	55	63	52	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9903226631520243	1.0	1.0	1.0	1.0	1.0	1.0
15124	15208	15474	15595	+	-	PA14_00130	hypothetical protein	44	47	59	45	47	44	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9903226631520243	1.0	1.0	1.0	1.0	1.0	1.0
	15621	16274		+	-	PA14_00140	hypothetical protein	11	14	13	10	9	9	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.3225119013895303	1.0	1.0	0.9146228341529953	1.0	1.0	1.0
