Start	Stop	Strand	Number of Genes	Genes
483	6695	+	4	dnaA, dnaN, recF, gyrB
7018	8339	-	2	PA14_00060, PA14_00070
10434	13435	-	2	glyS, glyQ
14236	15474	+	2	PA14_00120, PA14_00130
17389	21594	-	4	trkA, PA14_00180, fmt, def
22893	24579	+	2	PA14_00230, PA14_00240
25757	27556	+	2	hemF, aroE
27667	30519	+	3	plcB, PA14_00310, PA14_00320
30523	34532	-	3	PA14_00340, PA14_00360, betC
34645	35947	+	2	PA14_00400, PA14_00410
35926	36922	-	2	PA14_00420, PA14_00430
37108	39119	-	2	trpA, trpB
59018	60088	+	2	PA14_00570, PA14_00580
67187	69266	-	3	PA14_00660, PA14_00670, PA14_00680
74060	76276	-	3	PA14_00760, PA14_00770, PA14_00780
76354	78671	+	2	prlC, PA14_00800
80049	92474	-	8	PA14_00820, PA14_00830, PA14_00850, PA14_00860, ppkA, PA14_00890, PA14_00900, PA14_00910
92696	97409	-	5	PA14_00925, PA14_00940, PA14_00960, PA14_00970, PA14_00980
97777	101491	+	4	PA14_00990, PA14_01010, PA14_01020, PA14_01030
101659	110560	+	6	PA14_01040, PA14_01060, PA14_01070, PA14_01080, PA14_01100, PA14_01110
110675	112514	-	3	PA14_01120, PA14_01130, PA14_01140
113281	121410	+	7	PA14_01160, PA14_01170, PA14_01180, PA14_01190, PA14_01200, PA14_01220, PA14_01230
125293	129482	+	4	coxB, coxA, PA14_01310, coIII
129723	133809	+	5	PA14_01340, PA14_01350, PA14_01360, PA14_01380, PA14_01390
135162	136502	+	2	PA14_01430, PA14_01440
141481	141986	-	2	PA14_01510, PA14_01520
145477	148687	-	3	PA14_01600, PA14_01610, aptA
152381	156052	+	3	PA14_01670, PA14_01680, PA14_01690
162413	163922	-	2	PA14_01770, PA14_01780
168212	169749	+	2	PA14_01840, PA14_01860
173624	174959	+	2	pcaH, pcaG
176167	181429	+	3	PA14_01940, PA14_01960, PA14_01970
189058	191818	+	3	PA14_02070, PA14_02090, PA14_02100
192659	195608	-	3	PA14_02130, PA14_02140, PA14_02150
195871	203319	-	7	cheB, PA14_02190, PA14_02200, PA14_02220, cheW, cheA, PA14_02260
208482	210934	-	2	PA14_02330, PA14_02340
220837	223775	+	3	PA14_02450, PA14_02460, pntB
224119	226082	+	3	tonB2, exbB1, exbD1
227383	234756	+	9	mdcA, PA14_02560, mdcC, mdcD, mdcE, PA14_02610, PA14_02620, PA14_02630, PA14_02640
237370	241764	+	3	PA14_02680, PA14_02690, PA14_02700
243064	244787	-	2	PA14_02730, PA14_02740
245632	248464	+	3	PA14_02760, PA14_02770, pcaF
248614	252532	+	4	pcaT, pcaB, pcaD, pcaC
257439	259320	+	2	PA14_02930, PA14_02960
266282	267579	-	2	PA14_03020, aroQ2
271601	272559	-	2	PA14_03080, PA14_03090
274012	276019	-	2	PA14_03120, PA14_03130
278510	279531	+	2	PA14_03163, PA14_03166
279718	280853	-	2	PA14_03170, PA14_03180
282565	288272	-	3	PA14_03200, PA14_03210, PA14_03220
291568	293936	+	2	PA14_03250, PA14_03265
294101	298367	+	2	PA14_03270, PA14_03285
298567	299717	+	2	PA14_03290, PA14_03300
302683	305599	-	3	PA14_03320, PA14_03330, PA14_03340
305950	307666	-	2	PA14_03350, PA14_03360
311665	312499	-	2	PA14_03390, PA14_03400
319880	321054	+	3	PA14_03490, PA14_03510, PA14_03520
328093	330784	-	3	cysA, cysW, cysT
342926	344996	-	2	aguA, aguB
349652	352446	+	2	spuB, spuC
354084	358250	+	4	spuE, spuF, spuG, spuH
374583	377027	-	2	PA14_04190, PA14_04210
377448	381299	-	4	PA14_04220, PA14_04230, PA14_04240, PA14_04250
387894	390147	+	3	PA14_04330, PA14_04340, PA14_04350
390120	392064	-	2	PA14_04370, PA14_04380
392268	396205	+	3	ygdP, ptsP, PA14_04420
397086	398699	+	2	PA14_04440, lgt
399726	403315	-	3	PA14_04490, PA14_04510, PA14_04520
405267	407398	+	2	PA14_04560, PA14_04570
414409	416759	+	3	PA14_04660, mutM, PA14_04680
421999	425683	-	3	PA14_04780, PA14_04790, PA14_04810
427077	428402	-	2	PA14_04840, PA14_04850
428681	432154	-	3	PA14_04860, PA14_04870, PA14_04890
432275	435305	+	3	ftsY, ftsE, ftsX
438196	439252	+	2	PA14_04970, thiG
441918	443476	-	2	PA14_05030, PA14_05040
443597	444606	-	2	PA14_05050, PA14_05060
444738	446505	-	2	PA14_05070, metX
448962	451091	-	3	PA14_05130, proC, PA14_05160
455375	457929	+	2	PA14_05220, PA14_05230
458157	460965	-	3	pyrC, pyrB, pyrR
461077	462080	-	2	yqgF, PA14_05290
462129	464122	-	2	PA14_05300, gshB
464377	465783	+	3	pilG, pilH, pilI
467977	479311	+	6	pilK, chpA, PA14_05400, PA14_05410, PA14_05420, PA14_05430
479319	481491	-	2	PA14_05440, PA14_05450
484832	485988	+	2	PA14_05500, PA14_05510
486775	492541	+	3	mexA, mexB, oprM
494807	498866	-	4	PA14_05580, metF, PA14_05600, sahH
499715	503396	+	2	PA14_05640, PA14_05650
504138	506649	-	2	codA, codB
506831	511006	-	3	PA14_05740, PA14_05750, dhT
511622	514454	+	2	PA14_05790, amaB
